Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
BTC200, 5,20210101_20210401,551.60%,9.69335,243/31/219, 20210401_20210501,184,31.95%,0.83, 78.16%,78, 6, 100, 42.4,20/0/11,18:28:00, 17:46:00, 17:40:00,63.19%,5,-1.30, -1.77, 14:48:00,1,0, 4, 20.0
BTC200, 5,20201201_20210301,325.71%,6.79108,121/98/22, 20210301_20210401,43,34.24%,3.38, 35.36%,19, 19, 5, 44.2,14/17/1,3 days 12:27:00, 10:00:00, 7 days 17:12:00,47.71%,5,-7.07, -9.90, 5 days 14:00:00,1,0, 4, 20.0
BTC200, 5,20201101_20210201,234.92%,5.69625,209/6/277, 20210201_20210301,182,71.28%,1.66, 98.73%,73, 5, 104, 40.1,16/0/13,14:39:00, 13:42:00, 14:33:00,44.63%,5,-0.84, -1.51, 8:12:00,2,0, 3, 40.0
BTC200, 5,20201001_20210101,6.63%,2.02109,3/0/7, 20210101_20210201,6,-2.4%,-1.99, 23.45%,1, 1, 4, 16.7,0/0/1,16:00:00, 10:00:00, 16:30:00,73.11%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 5,20200901_20201201,7.48%,2.29075,5/1/4, 20201201_20210101,9,9.99%,5.40, 5.96%,6, 0, 3, 66.7,3/15/1,1 day 0:00:00, 8:20:00, 2 days 7:20:00,-14.55%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 5,20200801_20201101,3.43%,2.35393,4/0/4, 20201101_20201201,6,-0.24%,-0.20, 2.12%,2, 0, 4, 33.3,0/0/2,10:10:00, 18:00:00, 6:15:00,2.52%,0,0.00, 0.00, 0:00,0,0, 0, 0
BTC200, 5,20200701_20201001,86.04%,6.07960,99/61/12, 20201001_20201101,34,-29.57%,-4.62, 159.45%,7, 16, 11, 20.6,4/19/7,4 days 9:55:00, 23:09:00, 9 days 9:44:00,-28.27%,5,-12.84, -10.86, 8 days 19:48:00,0,0, 5, 0
BTC200, 5,20200601_20200901,106.85%,9.64761,74/64/10, 20200901_20201001,36,-23.03%,-3.37, 148.72%,8, 18, 10, 22.2,4/21/6,4 days 2:32:00, 21:30:00, 7 days 20:42:00,-11.34%,4,-5.71, -4.10, 11 days 9:00:00,1,0, 3, 25.0
BTC200, 5,20200501_20200801,67.54%,6.32962,63/66/10, 20200801_20200901,60,13.54%,1.12, 67.56%,36, 16, 8, 60.0,17/11/4,2 days 11:52:00, 16:22:00, 8 days 21:22:00,33.5%,5,-8.26, -10.02, 10 days 16:36:00,1,0, 4, 20.0
BTC200, 5,20200401_20200701,29.87%,3.89769,63/22/10, 20200701_20200801,65,-0.06%,0.04, 42.79%,51, 6, 8, 78.5,14/12/5,14:10:00, 3:56:00, 2 days 4:38:00,6.63%,2,-6.32, -2.56, 4 days 16:30:00,0,0, 2, 0
BTC200, 5,20200301_20200601,65.75%,4.07326,48/44/7, 20200601_20200701,14,-13.66%,-4.86, 71.19%,4, 5, 5, 28.6,4/25/1,8 days 1:13:00, 1 day 1:00:00, 19 days 17:24:00,0.21%,5,-14.24, -14.30, 19 days 17:24:00,0,0, 5, 0
BTC200, 5,20200201_20200501,13.41%,3.83152,7/2/1, 20200501_20200601,13,0.97%,0.69, 53.27%,6, 1, 6, 46.2,2/7/3,9:00:00, 2:20:00, 7:40:00,15.02%,1,-6.64, -1.36, 18:00:00,0,0, 1, 0
BTC200, 5,20200101_20200401,6.78%,4.89810,7/18/1, 20200401_20200501,16,0.66%,0.21, 0.2%,1, 14, 1, 6.2,1/26/1,1 day 14:04:00, 17:00:00, 8:00:00,0.48%,1,-0.20, -0.04, 8:00:00,0,0, 1, 0
BTC200, 5,20191201_20200301,36.57%,4.38059,54/33/11, 20200301_20200401,26,-10.64%,-2.02, 69.23%,11, 7, 8, 42.3,6/19/5,1 day 17:55:00, 12:49:00, 4 days 0:38:00,-10.98%,3,-8.22, -4.80, 4 days 3:00:00,0,0, 3, 0
