Market,Max Trades, IS,HO Return,HO Sharpe Ratio,HO Win Rate,OOS,Total Trades,Total Profit, Avg Profit, Drawdown, Wins, Draws, Loses, Win Rate, Win Day,Avg Duration, Avg Dur_Win, Avg Dur_Lose, Market Change, Left total trades, Left avg profit, Left total profit, Left avg duration, Left win, Left draws, Left lose, Left Win Rate 
USDT200, 10,20200301_20200601,31.11%,1.79609,367/30/729, 20200601_20200701,242,-13.27%,-0.56, 138.03%,72, 18, 152, 29.8,12/0/18,1 day 0:22:00, 1 day 10:42:00, 17:12:00,-5.77%,10,-0.39, -0.34, 16:54:00,3,0, 7, 30.0
USDT200, 10,20200201_20200501,16.95%,1.41334,161/148/36, 20200501_20200601,67,2.35%,0.37, 75.1%,26, 30, 11, 38.8,14/16/1,4 days 8:12:00, 1 day 3:05:00, 8 days 5:55:00,29.17%,10,-7.51, -8.03, 9 days 1:42:00,0,0, 10, 0
USDT200, 10,20200101_20200401,20.77%,1.44328,170/152/29, 20200401_20200501,103,22.96%,2.08, 64.27%,60, 33, 10, 58.3,19/9/1,2 days 16:40:00, 1 day 1:05:00, 1 day 1:12:00,36.48%,10,-6.43, -8.36, 1 day 1:12:00,0,0, 10, 0
USDT200, 10,20191201_20200301,30.25%,2.48217,141/122/18, 20200301_20200401,109,-21.11%,-1.50, 330.08%,44, 43, 22, 40.4,13/15/3,2 days 12:08:00, 17:22:00, 6 days 11:08:00,-33.88%,10,-5.41, -4.45, 8 days 6:24:00,0,0, 10, 0
USDT200, 10,20191101_20200201,15.13%,1.92335,120/121/21, 20200201_20200301,131,-2.23%,0.16, 309.66%,73, 39, 19, 55.7,17/5/6,1 day 23:40:00, 21:16:00, 6 days 14:25:00,8.27%,10,-8.63, -10.48, 3 days 23:06:00,1,0, 9, 10.0
USDT200, 10,20191001_20200101,15.17%,1.55419,140/141/37, 20200101_20200201,137,21.77%,1.46, 36.51%,64, 64, 9, 46.7,18/11/1,2 days 1:47:00, 23:38:00, 4 days 21:00:00,40.55%,10,-3.65, -4.47, 4 days 11:36:00,1,0, 9, 10.0
USDT200, 10,20190901_20191201,8.36%,1.07498,115/138/23, 20191201_20200101,58,-12.07%,-1.95, 151.12%,15, 30, 13, 25.9,10/16/4,5 days 0:24:00, 1 day 2:56:00, 14 days 3:37:00,-10.63%,10,-11.36, -11.22, 15 days 18:24:00,0,0, 10, 0
USDT200, 10,20190801_20191101,-6.91%,0.18345,98/126/26, 20191101_20191201,97,-17.0%,-1.59, 222.66%,42, 36, 19, 43.3,13/11/5,2 days 20:09:00, 19:29:00, 8 days 7:41:00,-4.75%,10,-7.61, -6.78, 6 days 1:00:00,0,0, 10, 0
USDT200, 20,20210701_20211001,45.95%,3.22192,378/295/39, 20211001_20211101,232,15.87%,1.25, 151.89%,90, 122, 20, 38.8,21/5/1,2 days 4:25:00, 12:02:00, 6 days 18:45:00,39.04%,20,-7.59, -8.98, 5 days 15:45:00,2,0, 18, 10.0
USDT200, 20,20210601_20210901,42.44%,2.43080,553/322/67, 20210901_20211001,312,-23.94%,-1.32, 678.53%,168, 93, 51, 53.8,18/5/7,1 day 18:19:00, 8:42:00, 6 days 9:27:00,-5.96%,20,-10.97, -10.00, 7 days 15:42:00,2,0, 18, 10.0
USDT200, 20,20210501_20210801,-31.91%,0.55856,875/140/109, 20210801_20210901,434,48.07%,1.81, 206.64%,306, 109, 19, 70.5,27/2/2,1 day 7:46:00, 9:09:00, 8 days 5:54:00,43.83%,19,-9.24, -13.03, 7 days 21:41:00,1,0, 18, 5.3
USDT200, 20,20210401_20210701,28.83%,1.24904,1124/22/1450, 20210701_20210801,756,3.01%,0.14, 692.59%,277, 7, 472, 36.6,15/0/16,14:48:00, 19:23:00, 11:46:00,22.66%,17,2.14, 1.78, 19:42:00,16,0, 1, 94.1
USDT200, 20,20210301_20210601,174.16%,5.44191,1257/0/1958, 20210601_20210701,727,-6.71%,-0.16, 443.04%,260, 0, 467, 35.8,10/2/18,7:31:00, 9:49:00, 6:14:00,-21.57%,19,1.71, 1.48, 2:22:00,19,0, 0, 100
USDT200, 20,20210201_20210501,539.59%,10.01812,1459/0/1994, 20210501_20210601,867,-5.55%,-0.08, 449.92%,315, 0, 552, 36.3,12/0/19,6:56:00, 7:23:00, 6:40:00,-26.39%,16,2.94, 2.10, 8:19:00,15,0, 1, 93.8
USDT200, 20,20210101_20210401,486.09%,12.18758,496/315/37, 20210401_20210501,309,24.54%,1.61, 482.6%,158, 117, 34, 51.1,23/2/5,1 day 18:50:00, 15:52:00, 4 days 23:49:00,55.43%,20,-2.93, -3.79, 3 days 11:15:00,6,0, 14, 30.0
